	word	quideword	cerf	pos
627	belong	HAPPY SOMEWHERE	B2	verb
628	blush		B2	verb
629	believe	TRUE	A2	verb
630	bother	ANNOY	A2	verb
631	annoy		B1	verb
632	attract	ENCOURAGE INTEREST	B1	verb
633	admire	RESPECT	B2	verb
634	appreciate	VALUE	B2	verb
635	betray		B2	verb
636	bother	WORRY	B2	verb
637	bear	ACCEPT	C1	verb
638	behave	BE POLITE	B1	verb
639	care	WORRY	B1	verb
640	cheat		B2	verb
641	capital		A2	noun
642	citizen	LEGAL RIGHT	B2	noun
643	center	POLITICAL	C2	noun
644	birthday		A1	noun
645	brother		A1	noun
646	aunt		A2	noun
647	boyfriend		A2	noun
648	anniversary		B1	noun
649	bride		B1	noun
650	ceremony		B1	noun
651	affair	RELATIONSHIP	B2	noun
652	bond		B2	noun
653	brother-in-law		B2	noun
654	circle	GROUP	B2	noun
655	bond		C2	verb
656	call	NAME	B1	verb
657	celebrate		B1	verb
658	adopt	TAKE CHILD	B2	verb
659	bag		A1	noun
660	ball	ROUND OBJECT	A1	noun
661	bat	STICK	A1	noun
662	bookstore		A1	noun
663	box	CONTAINER	A1	noun
664	board	GAMES	A2	noun
665	board game		A2	noun
666	card	GAME	A2	noun
667	basket		B1	noun
668	captain	SPORTS	B1	noun
669	chain	BUSINESS	B1	noun
670	champion	WINNER	B1	noun
671	checkout	store	B1	noun
672	club	TEAM	B1	noun
673	arrow	WEAPON	B2	noun
674	brand		B2	noun
675	catalog		B2	noun
676	business	SELLING	A1	noun
677	badminton		A2	noun
678	chess		A2	noun
679	baseball		A1	noun
680	basketball		A1	noun
681	come	BE AVAILABLE	A2	verb
682	appear	BECOME AVAILABLE	B2	verb
683	browse	LOOK	B2	verb
684	beat	DEFEAT	B1	verb
685	address	ELECTRONIC	A1	noun
686	CD		A1	noun
687	bulb		B1	noun
688	button	ON MACHINE	B1	noun
689	card	COMPUTER	B1	noun
690	backup	COPY	B2	noun
691	bookmark		B2	noun
692	breakdown	NOT WORKING	B2	noun
693	bug	COMPUTER	B2	noun
694	chip	COMPUTER PART	B2	noun
695	access	RIGHT/OPPORTUNITY	B1	noun
696	broadband		B2	noun
697	CD-ROM		B1	noun
698	cable	WIRE	B2	noun
699	attach	COMPUTING	B1	verb
700	access		B2	verb
701	bookmark		B2	verb
702	burn	COPY	B2	verb
703	browse	COMPUTING	B2	verb
704	charge	ELECTRICITY	B2	verb
705	bike	BICYCLE	A1	noun
706	boat		A1	noun
707	bus		A1	noun
708	car	ROAD	A1	noun
709	airplane		A2	noun
710	airport		A2	noun
711	bicycle		A2	noun
712	bus station		A2	noun
713	bus stop		A2	noun
714	brake		B1	noun
715	cab		B1	noun
716	cabin	AIRCRAFT	B1	noun
717	campsite		B1	noun
718	check-in (counter)		B1	noun
719	aircraft		B2	noun
720	captain	SHIP/AIRCRAFT	B2	noun
721	car	TRAIN	C1	noun
722	cabin	SHIP	C2	noun
723	carriage		C2	noun
724	air	AIRCRAFT	A2	noun
725	baggage	BAGS	B1	noun
726	approach	COMING CLOSER	B2	noun
727	adventure		A2	noun
728	camp	TENTS/BUILDINGS	B1	noun
729	camp	vacation place	B1	noun
730	camp		A2	verb
731	accelerate	VEHICLE	C2	verb
732	catch	TRAVEL	A1	verb
733	carry	TRANSPORT	B2	verb
734	board		B1	verb
735	book		B1	verb
736	boss		A2	noun
737	business	ORGANIZATION	A2	noun
738	businessman		A2	noun
739	businesswoman		A2	noun
740	agency	BUSINESS	B1	noun
741	architect		B1	noun
742	career	JOB	B1	noun
743	agent	SECRET INFORMATION	B2	noun
744	analyst		B2	noun
745	chief		B2	noun
746	client		B2	noun
747	bid	OFFER	C1	noun
748	board	ORGANIZATION	C1	noun
749	career	TIME	C2	noun
750	architecture	SUBJECT	B1	noun
751	business	WORK	B1	noun
752	benefit	SERVICE	B1	noun
753	advertise	ASK FOR	B1	verb
754	appoint		C1	verb
755	build		A2	verb
756	cigarette		A2	noun
757	addict		B2	noun
758	cancer		B1	noun
759	alcohol		A2	noun
760	champagne		A2	noun
761	bacon		B1	noun
762	beer		A1	noun
763	cathedral		A2	noun
764	church		A2	noun
765	bribe		C1	noun
766	bomb		B1	verb
767	arrival	NEW PERSON/THING	C1	noun
768	arrival		B1	noun
769	approval	GOOD OPINION	B2	noun
770	arrival	BECOME AVAILABLE	C2	noun
771	acquaintance		C1	noun
772	appliance		C1	noun
773	alliance		C2	noun
774	annoyance		C1	noun
775	acceptance		C1	noun
776	attendance	NUMBER	C1	noun
777	attendance	REGULARLY	C1	noun
778	coherence	SHARED BELIEFS/PURPOSE	C2	noun
779	coincidence		B2	noun
780	baker		B1	noun
781	blogger		B1	noun
782	border		B1	noun
783	butcher		B1	noun
784	buyer		B1	noun
785	banker		B2	noun
786	climbing		A2	noun
787	advertising		B2	noun
788	banking	BUSINESS	B2	noun
789	coaching		B2	noun
790	backing		C2	noun
791	ambition	HOPE	B1	noun
792	application	REQUEST	B1	noun
793	attraction	THING TO SEE OR DO	B1	noun
794	collection	OBJECTS	B1	noun
795	collection	GROUP	B1	noun
796	addition	NEW THING	B2	noun
797	association		B2	noun
798	collocation		B2	noun
799	accusation		C1	noun
800	assumption		C1	noun
801	audition		C1	noun
802	administration	MANAGEMENT	C2	noun
803	administration	GOVERNMENT	C2	noun
804	allocation	PART	C2	noun
805	attention	NOTICE	B1	noun
806	administration	ORGANIZING	C1	noun
807	aggression		C1	noun
808	caution	CARE	C1	noun
809	civilization	WAY OF LIFE	C1	noun
810	action	FIGHTING	C2	noun
811	allocation	PROCESS	C2	noun
812	anticipation	WAITING	C2	noun
813	civilization	SOCIETY	B2	noun
814	combination		B2	noun
815	action	LEGAL PROCESS	C1	noun
816	adaptation		C1	noun
817	alteration		C1	noun
818	auction		C1	noun
819	cancellation		C1	noun
820	collaboration		C1	noun
821	accumulation		C2	noun
822	application	USE	C2	noun
823	association	CONNECTION	C2	noun
824	classification		C2	noun
825	action	PROCESS	C2	noun
826	artist		A2	noun
827	chemist		B1	noun
828	celebrity		B1	noun
829	authority	OFFICIAL	C1	noun
830	activity	MOVEMENT	B2	noun
831	authority	POWER	B2	noun
832	availability		B2	noun
833	charity	KINDNESS	C2	noun
834	ability		B1	noun
835	charity	ORGANIZATION	B1	noun
836	capability		C1	noun
837	ambiguity		C2	noun
838	alternative		B2	noun
839	authorize		C1	verb
840	appointment		A2	noun
841	arrangement	POSITION	B2	noun
842	attachment	EQUIPMENT	B2	noun
843	announcement		B1	noun
844	amusement	ENTERTAINMENT	B2	noun
845	amendment		C1	noun
846	attachment	FEELING	C2	noun
847	awareness		C1	noun
848	closeness	NEAR	C1	noun
849	closeness	RELATIONSHIP	C1	noun
850	blindness	NOT NOTICING	C2	noun
851	clumsiness		C2	noun
852	coldness	TEMPERATURE	C2	noun
853	author		B1	noun
854	calculator		B1	noun
855	ambassador		B2	noun
856	administrator		C1	noun
857	anchor	BOAT	C2	noun
858	anchor	SUPPORT	C2	noun
859	bartender		B2	noun
860	bomber	PERSON	B2	noun
861	bomber	AIRCRAFT	C2	noun
862	alcoholic		C2	noun
863	board	CLASSROOM	A1	noun
864	cell phone		A1	noun
865	child		A1	noun
866	city		A1	noun
867	classroom		A1	noun
868	clock		A1	noun
869	actor		A2	noun
870	adjective		A2	noun
871	adverb		A2	noun
872	alarm clock		A2	noun
873	album	BOOK	A2	noun
874	answer	TEST	A2	noun
875	backpack		A2	noun
876	balloon		A2	noun
877	barbecue	EQUIPMENT	A2	noun
878	bathing suit		A2	noun
879	battery		A2	noun
880	bill		A2	noun
881	block	DISTANCE	A2	noun
882	block	AREA	A2	noun
883	body	DEAD	A2	noun
884	box	SQUARE SPACE	A2	noun
885	break	STOP	A2	noun
886	bridge	STRUCTURE	A2	noun
887	brush		A2	noun
888	calendar	DAYS	A2	noun
889	call	TELEPHONE	A2	noun
890	case	CONTAINER	A2	noun
891	center	MIDDLE	A2	noun
892	century		A2	noun
893	check	REQUEST FOR PAYMENT	A2	noun
894	chef		A2	noun
895	class	STANDARD	A2	noun
896	classmate		A2	noun
897	click		A2	noun
898	closet		A2	noun
899	club	GROUP	A2	noun
900	colleague		A2	noun
901	accountant		B1	noun
902	aim		B1	noun
903	airline		B1	noun
904	alarm	WAKING	B1	noun
905	ambulance		B1	noun
906	answer	SOLUTION	B1	noun
907	antique		B1	noun
908	area	PART	B1	noun
909	article	GRAMMAR	B1	noun
910	assignment		B1	noun
911	athlete		B1	noun
912	backyard		B1	noun
913	barbershop		B1	noun
914	bargain		B1	noun
915	bell	ELECTRICAL OBJECT	B1	noun
916	blog		B1	noun
917	board	SURFACE	B1	noun
918	book	FOR WRITING	B1	noun
919	branch	BUSINESS	B1	noun
920	break	VACATION	B1	noun
921	break	DAMAGE	B1	noun
922	bucket		B1	noun
923	bulletin board		B1	noun
924	canal		B1	noun
925	case	SITUATION	B1	noun
926	cash machine		B1	noun
927	chance	OPPORTUNITY	B1	noun
928	checkout	WEB SITE	B1	noun
929	cinema	BUILDING	B1	noun
930	clinic		B1	noun
931	club	DANCE	B1	noun
932	coach		B1	noun
933	affair	SITUATION	B2	noun
934	age	PERIOD	B2	noun
935	agent	BUSINESS	B2	noun
936	animal	NOT A PLANT	B2	noun
937	approach	METHOD	B2	noun
938	area	SUBJECT	B2	noun
939	aspect		B2	noun
