	word	quideword	cerf	pos
753	career	TIME	C2	noun
754	architecture	SUBJECT	B1	noun
755	business	WORK	B1	noun
756	advertise	ASK FOR	B1	verb
757	appoint		C1	verb
758	build		A2	verb
759	cigarette		A2	noun
760	addict		B2	noun
761	cancer		B1	noun
762	abuse	LANGUAGE	C2	noun
763	alcohol		A2	noun
764	champagne		A2	noun
765	bacon		B1	noun
766	beer		A1	noun
767	cathedral		A2	noun
768	church		A2	noun
769	bribe		C1	noun
770	bomb		B1	verb
771	arrival	NEW PERSON/THING	C1	noun
772	arrival		B1	noun
773	approval	GOOD OPINION	B2	noun
774	arrival	BECOME AVAILABLE	C2	noun
775	acquaintance		C1	noun
776	appliance		C1	noun
777	alliance		C2	noun
778	annoyance		C1	noun
779	acceptance		C1	noun
780	attendance	NUMBER	C1	noun
781	attendance	REGULARLY	C1	noun
782	coherence	SHARED BELIEFS/PURPOSE	C2	noun
783	coincidence		B2	noun
784	baker		B1	noun
785	blogger		B1	noun
786	border		B1	noun
787	butcher		B1	noun
788	buyer		B1	noun
789	banker		B2	noun
790	climbing		A2	noun
791	advertising		B2	noun
792	banking		B2	noun
793	coaching		B2	noun
794	backing		C2	noun
795	ambition	HOPE	B1	noun
796	application	REQUEST	B1	noun
797	attraction	THING TO SEE OR DO	B1	noun
798	collection	OBJECTS	B1	noun
799	collection	GROUP	B1	noun
800	addition	NEW THING	B2	noun
801	association		B2	noun
802	collocation		B2	noun
803	accusation		C1	noun
804	assumption		C1	noun
805	audition		C1	noun
806	allocation	SHARE	C2	noun
807	accommodation		B1	noun
808	attention	NOTICE	B1	noun
809	administration		C1	noun
810	aggression		C1	noun
811	caution	CARE	C1	noun
812	civilization	WAY OF LIFE	C1	noun
813	action	FIGHTING	C2	noun
814	allocation	PROCESS	C2	noun
815	anticipation	WAITING	C2	noun
816	civilization	SOCIETY	B2	noun
817	combination		B2	noun
818	adaptation		C1	noun
819	alteration		C1	noun
820	auction		C1	noun
821	cancellation		C1	noun
822	collaboration		C1	noun
823	accumulation		C2	noun
824	application	USE	C2	noun
825	association	CONNECTION	C2	noun
826	classification		C2	noun
827	action	PROCESS	C2	noun
828	artist		A2	noun
829	chemist	SHOP	A2	noun
830	chemist	SCIENCE	B1	noun
831	celebrity		B1	noun
832	authority	OFFICIAL GROUP	C1	noun
833	activity	MOVEMENT	B2	noun
834	authority	POWER	B2	noun
835	availability		B2	noun
836	charity	KINDNESS	C2	noun
837	ability		B1	noun
838	charity	ORGANIZATION	B1	noun
839	capability		C1	noun
840	ambiguity		C2	noun
841	alternative		B2	noun
842	authorize		C1	verb
843	appointment		A2	noun
844	arrangement	POSITION	B2	noun
845	attachment	EQUIPMENT	B2	noun
846	announcement		B1	noun
847	amusement	ENTERTAINMENT	B2	noun
848	amendment		C1	noun
849	attachment	FEELING	C2	noun
850	awareness		C1	noun
851	closeness	NEAR	C1	noun
852	closeness	RELATIONSHIP	C1	noun
853	blindness	NOT NOTICING	C2	noun
854	clumsiness		C2	noun
855	coldness	TEMPERATURE	C2	noun
856	author		B1	noun
857	calculator		B1	noun
858	ambassador		B2	noun
859	administrator		C1	noun
860	anchor	BOAT	C2	noun
861	anchor	SUPPORT	C2	noun
862	bomber	PERSON	B2	noun
863	bomber	AIRCRAFT	C2	noun
864	alcoholic		C2	noun
865	board	CLASSROOM	A1	noun
866	child		A1	noun
867	cinema	BUILDING	A1	noun
868	city		A1	noun
869	classroom		A1	noun
870	clock	TIME	A1	noun
871	actor		A2	noun
872	adjective		A2	noun
873	adverb		A2	noun
874	alarm clock		A2	noun
875	album	BOOK	A2	noun
876	ambulance		A2	noun
877	answer	TEST	A2	noun
878	balloon		A2	noun
879	barbecue	EQUIPMENT	A2	noun
880	battery		A2	noun
881	bill		A2	noun
882	body	DEAD	A2	noun
883	box	SQUARE SPACE	A2	noun
884	break	STOP	A2	noun
885	bridge	STRUCTURE	A2	noun
886	brush	TOOL	A2	noun
887	calendar		A2	noun
888	call	TELEPHONE	A2	noun
889	case	CONTAINER	A2	noun
890	centre	MIDDLE	A2	noun
891	century		A2	noun
892	chef		A2	noun
893	class	STANDARD	A2	noun
894	classmate		A2	noun
895	click		A2	noun
896	colleague		A2	noun
897	accountant		B1	noun
898	age	PERIOD	B1	noun
899	aim		B1	noun
900	airline		B1	noun
901	alarm	WAKING	B1	noun
902	answer	SOLUTION	B1	noun
903	antique		B1	noun
904	article	GRAMMAR	B1	noun
905	athlete		B1	noun
906	backpack		B1	noun
907	bell	ELECTRICAL OBJECT	B1	noun
908	block	DISTANCE	B1	noun
909	blog		B1	noun
910	book	FOR WRITING	B1	noun
911	branch	BUSINESS	B1	noun
912	break	HOLIDAY	B1	noun
913	bucket		B1	noun
914	canal		B1	noun
915	case	SITUATION	B1	noun
916	cashpoint		B1	noun
917	chance	OPPORTUNITY	B1	noun
918	checkout	WEBSITE	B1	noun
919	clinic		B1	noun
920	coach	PERSON	B1	noun
921	affair	SITUATION	B2	noun
922	agent	BUSINESS	B2	noun
923	animal	NOT A PLANT	B2	noun
924	approach	METHOD	B2	noun
925	area	SUBJECT	B2	noun
926	aspect		B2	noun
927	bakery		B2	noun
928	bang		B2	noun
929	bar	LONG PIECE	B2	noun
930	bargain	CHEAP	B2	noun
931	barrier	PREVENTING	B2	noun
